"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"WEB-11","서비스 관리","웹 서비스 경로 설정","양호 : 웹 서버 경로를 기타 업무와 영역이 분리된 경로로 설정 및 불필요한 경로가 존재하지 않는 경우 | 취약 : 웹 서버 경로를 기타 업무와 영역이 분리되지 않은 경로로 설정하거나 불필요한 경로가 있는 경우","양호","appBase=webapps (=> /opt/tomcat9/webapps) | docBase=/srv/bookstore (=> /srv/bookstore)","WAS(Tomcat)","10.0.128.149","중","/opt/tomcat9/conf/server.xml"
"WEB-12","서비스 관리","웹 서비스 링크 사용 금지","양호 : 심볼릭 링크, aliases, 바로가기 등의 링크 사용을 허용하지 않는 경우 | 취약 : 심볼릭 링크, aliases, 바로가기 등의 링크 사용을 허용하는 경우","양호","allowLinking 허용 설정 없음","WAS(Tomcat)","10.0.128.149","중","/opt/tomcat9/conf/context.xml / /opt/tomcat9/conf/server.xml"
"WEB-13","서비스 관리","웹 서비스 설정 파일 노출 제한","양호 : 일반 사용자의 DB 연결 파일에 대한 접근을 제한하고, 불필요한 스크립트 매핑이 제거된 경우 | 취약 : 일반 사용자의 DB 연결 파일에 대한 접근을 제한하지 않거나, 불필요한 스크립트 매핑이 제거되지 않은 경우","양호","-rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/mapper/my_SQL.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/app.properties | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/context-upload.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/context-datasource.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/context-mybatis.xml","WAS(Tomcat)","10.0.128.149","상","DB 연결 설정 파일"
"WEB-14","서비스 관리","웹 서비스 경로 내 파일의 접근 통제","양호 : 주요 설정 파일 및 디렉터리에 불필요한 접근 권한이 부여되지 않은 경우 | 취약 : 주요 설정 파일 및 디렉터리에 불필요한 접근 권한이 부여된 경우","양호","-rw------- (600) tomcat:tomcat  /opt/tomcat9/conf/server.xml | -rw------- (600) tomcat:tomcat  /opt/tomcat9/conf/web.xml | -rw------- (600) tomcat:tomcat  /opt/tomcat9/conf/context.xml | -rw------- (600) tomcat:tomcat  /opt/tomcat9/conf/tomcat-users.xml | -rw-r----- (640) tomcat:tomcat  /srv/bookstore/WEB-INF/web.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/mapper/my_SQL.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/app.properties | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/context-upload.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/context-datasource.xml | -rw------- (600) tomcat:tomcat  /srv/bookstore/WEB-INF/classes/config/spring/context-mybatis.xml | drwx------ (700) tomcat:tomcat  /opt/tomcat9/conf | drwxr-x--- (750) tomcat:tomcat  /srv/bookstore/WEB-INF","WAS(Tomcat)","10.0.128.149","상","conf/* + 앱 설정 파일·디렉터리"
"WEB-15","서비스 관리","웹 서비스의 불필요한 스크립트 매핑 제거","양호 : 불필요한 스크립트 매핑이 존재하지 않는 경우 | 취약 : 불필요한 스크립트 매핑이 존재하는 경우","양호","# /opt/tomcat9/conf/web.xml | <servlet-name>default</servlet-name> | <url-pattern>/</url-pattern> | <servlet-name>jsp</servlet-name> | <url-pattern>*.jsp</url-pattern> | <url-pattern>*.jspx</url-pattern> | # /srv/bookstore/WEB-INF/web.xml | <servlet-name>action</servlet-name> | <url-pattern>/</url-pattern>","WAS(Tomcat)","10.0.128.149","상","/opt/tomcat9/conf/web.xml / /srv/bookstore/WEB-INF/web.xml"
"WEB-16","서비스 관리","웹 서비스 헤더 정보 노출 제한","양호 : HTTP 응답 헤더에서 웹 서버 정보가 노출되지 않는 경우 | 취약 : HTTP 응답 헤더에서 웹 서버 정보가 노출되는 경우","양호","# /opt/tomcat9/conf/server.xml: server=""{Checker}"" | # /opt/tomcat9/conf/server.xml (ErrorReportValve 요소) | <Valve className=""org.apache.catalina.valves.ErrorReportValve"" showReport=""true"" showServerInfo | =""false""/>","WAS(Tomcat)","10.0.128.149","중","/opt/tomcat9/conf/server.xml"
"WEB-17","서비스 관리","웹 서비스 가상 디렉터리 삭제","양호 : 불필요한 가상 디렉터리가 존재하지 않는 경우 | 취약 : 불필요한 가상 디렉터리가 존재하는 경우","양호","server.xml 내 명시적 Context path 없음","WAS(Tomcat)","10.0.128.149","중","/opt/tomcat9/conf/server.xml"
"WEB-18","서비스 관리","웹 서비스 WebDAV 비활성화","양호 : WebDAV 서비스를 비활성화하고 있는 경우 | 취약 : WebDAV 서비스를 활성화하고 있는 경우","N/A","Tomcat 점검 대상 아님 / 대상: Apache·Nginx·IIS·WebtoB","WAS(Tomcat)","10.0.128.149","상","-"
"WEB-19","보안 설정","웹 서비스 SSI(Server Side Includes) 사용 제한","양호 : 웹 서비스 SSI 사용 설정이 비활성화되어 있는 경우 | 취약 : 웹 서비스 SSI 사용 설정이 활성화되어 있는 경우","양호","SSI 서블릿/필터 매핑 없음 — 주석 제외","WAS(Tomcat)","10.0.128.149","중","/opt/tomcat9/conf/web.xml / /srv/bookstore/WEB-INF/web.xml"
"WEB-20","보안 설정","SSL/TLS 활성화","양호 : SSL/TLS 설정이 활성화되어 있는 경우 | 취약 : SSL/TLS 설정이 비활성화되어 있는 경우","N/A","Tomcat 점검 대상 아님 / SSL은 앞단 Apache 종단","WAS(Tomcat)","10.0.128.149","상","-"
